* This is the BiomeMobWeight report file that is output every time the server starts.,RESTART GAME FOR CHANGES TO TAKE EFFECT,,NEGATIVE WEIGHT = NO SPAWN,SERVERCORE CONFIG FOR MOB CATEGORY CAPS,,,
294, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
295, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
296, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
297, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
298, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:swarmer,11,1,1
299, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
300, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
301, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
302, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
303, badlands, minecraft:badlands, CREATURE, naturalist:cardinal,7,3,4
304, badlands, minecraft:badlands, CREATURE, naturalist:vulture,7,3,5
305, badlands, minecraft:badlands, CREATURE, alexsmobs:roadrunner,9,2,2
306, badlands, minecraft:badlands, CREATURE, alexsmobs:rattlesnake,12,1,2
307, badlands, minecraft:badlands, CREATURE, alexsmobs:emu,20,2,5
308, badlands, minecraft:badlands, CREATURE, alexsmobs:kangaroo,25,3,5
309, badlands, minecraft:badlands, CREATURE, biomemakeover:scuttler,12,1,2
310, badlands, minecraft:badlands, CREATURE, friendsandfoes:mauler,16,1,1
311, badlands, minecraft:badlands, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
312, badlands, minecraft:badlands, AMBIENT, minecraft:bat,10,8,8
313, badlands, minecraft:badlands, AMBIENT, alexsmobs:fly,3,2,3
314, badlands, minecraft:badlands, AMBIENT, alexsmobs:cockroach,4,5,5
315, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
316, badlands, minecraft:badlands, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
317, badlands, minecraft:badlands, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
318, badlands, minecraft:badlands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
319, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:bayad,6,1,2
320, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:bluegill,20,1,6
321, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:boulti,10,1,3
322, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
323, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:capitaine,1,1,1
324, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:carp,10,1,3
325, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:catfish,1,1,1
326, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:gar,6,1,2
327, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:minnow,18,1,5
328, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
329, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:perch,20,1,6
330, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
331, badlands, minecraft:badlands, WATER_AMBIENT, aquaculture:synodontis,20,1,6
332, badlands, minecraft:badlands, rascals, friendsandfoes:rascal,4,1,1
333, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider,100,4,4
334, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie,95,4,4
335, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager,5,1,1
336, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton,100,4,4
337, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime,100,4,4
338, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman,10,1,4
339, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch,5,1,1
340, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot,2,1,1
341, jungle, minecraft:bamboo_jungle, MONSTER, alexsmobs:centipede_head,8,1,1
342, jungle, minecraft:bamboo_jungle, MONSTER, alexsmobs:farseer,30,1,1
343, jungle, minecraft:bamboo_jungle, MONSTER, alexsmobs:murmur,5,1,1
344, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
345, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
346, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:bamboo_creeper,75,2,2
347, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
348, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
349, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
350, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:cave_creeper,75,2,2
351, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
352, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
353, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
354, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
355, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
356, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:door_knight,13,1,1
357, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
358, jungle, minecraft:bamboo_jungle, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
359, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
360, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:jungle_creeper,75,2,2
361, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:krampus,2,1,1
362, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
363, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
364, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:missioner,4,1,1
365, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
366, jungle, minecraft:bamboo_jungle, MONSTER, mowziesmobs:foliaath,70,1,4
367, jungle, minecraft:bamboo_jungle, MONSTER, mowziesmobs:grottol,2,1,1
368, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
369, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
370, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
371, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:illusioner,8,1,1
372, jungle, minecraft:bamboo_jungle, MONSTER, majruszsdifficulty:tank,3,1,1
373, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
374, jungle, minecraft:bamboo_jungle, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
375, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
376, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
377, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
378, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
379, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
380, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
381, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
382, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
383, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
384, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:swarmer,11,1,1
385, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
386, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
387, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
388, jungle, minecraft:bamboo_jungle, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
389, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep,12,4,4
390, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig,10,4,4
391, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken,10,4,4
392, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow,8,4,4
393, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken,10,4,4
394, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot,32,1,2
395, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda,80,1,2
396, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:coral_snake,20,1,1
397, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:hippo,20,1,3
398, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:lizard,20,1,1
399, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:tortoise,20,1,1
400, jungle, minecraft:bamboo_jungle, CREATURE, crittersandcompanions:red_panda,20,1,2
401, jungle, minecraft:bamboo_jungle, CREATURE, crittersandcompanions:jumping_spider,10,1,1
402, jungle, minecraft:bamboo_jungle, CREATURE, alexsmobs:hummingbird,19,7,7
403, jungle, minecraft:bamboo_jungle, CREATURE, alexsmobs:komodo_dragon,16,1,2
404, jungle, minecraft:bamboo_jungle, CREATURE, alexsmobs:tiger,30,1,3
405, jungle, minecraft:bamboo_jungle, CREATURE, aquaculture:arrau_turtle,20,1,2
406, jungle, minecraft:bamboo_jungle, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
407, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat,10,8,8
408, jungle, minecraft:bamboo_jungle, AMBIENT, crittersandcompanions:leaf_insect,14,1,1
409, jungle, minecraft:bamboo_jungle, AMBIENT, alexsmobs:fly,3,2,3
410, jungle, minecraft:bamboo_jungle, AMBIENT, alexsmobs:cockroach,4,5,5
411, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
412, jungle, minecraft:bamboo_jungle, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
413, jungle, minecraft:bamboo_jungle, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
414, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
415, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, aquaculture:arapaima,1,1,1
416, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, aquaculture:piranha,20,1,6
417, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, aquaculture:tambaqui,6,1,2
418, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, minecraft:tropical_fish,25,5,5
419, jungle, minecraft:bamboo_jungle, rascals, friendsandfoes:rascal,4,1,1
420, none, undergarden:barren_abyss, MONSTER, undergarden:nargoyle,50,1,1
421, none, undergarden:barren_abyss, MONSTER, undergarden:muncher,50,1,1
422, none, undergarden:barren_abyss, MONSTER, undergarden:sploogie,50,1,1
423, none, undergarden:barren_abyss, MONSTER, undergarden:rotling,100,2,4
424, none, undergarden:barren_abyss, MONSTER, undergarden:rotwalker,100,4,4
425, none, undergarden:barren_abyss, MONSTER, undergarden:rotbeast,100,1,2
426, none, undergarden:barren_abyss, MONSTER, alexsmobs:farseer,30,1,1
427, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
428, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
429, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
430, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
431, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
432, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
433, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
434, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
435, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
436, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
437, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:door_knight,13,1,1
438, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
439, none, undergarden:barren_abyss, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
440, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
441, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:krampus,2,1,1
442, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
443, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
444, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:missioner,4,1,1
445, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
446, none, undergarden:barren_abyss, MONSTER, mowziesmobs:grottol,2,1,1
447, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
448, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
449, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
450, none, undergarden:barren_abyss, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
451, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
452, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
453, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
454, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
455, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
456, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
457, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
458, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
459, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
460, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:swarmer,11,1,1
461, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
462, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
463, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
464, none, undergarden:barren_abyss, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
465, none, undergarden:barren_abyss, CREATURE, undergarden:smog_mog,100,2,4
466, none, undergarden:barren_abyss, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
467, none, undergarden:barren_abyss, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
468, none, undergarden:barren_abyss, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
469, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:bluegill,20,1,6
470, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
471, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:carp,10,1,3
472, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:catfish,1,1,1
473, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:gar,6,1,2
474, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:minnow,18,1,5
475, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
476, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:perch,20,1,6
477, none, undergarden:barren_abyss, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
478, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast,40,1,1
479, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube,100,2,5
480, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:bone_serpent,8,1,1
481, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:straddler,70,1,3
482, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:farseer,30,1,1
483, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
484, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
485, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
486, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
487, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:bone_imp,25,1,2
488, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
489, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
490, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
491, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
492, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
493, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
494, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:door_knight,13,1,1
495, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
496, nether, minecraft:basalt_deltas, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
497, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
498, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:krampus,2,1,1
499, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
500, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
501, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:missioner,4,1,1
502, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
503, nether, minecraft:basalt_deltas, MONSTER, mowziesmobs:grottol,2,1,1
504, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
505, nether, minecraft:basalt_deltas, MONSTER, majruszsdifficulty:cerberus,1,1,1
506, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
507, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
508, nether, minecraft:basalt_deltas, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
509, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
510, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
511, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
512, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
513, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
514, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
515, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
516, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
517, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
518, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:swarmer,11,1,1
519, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
520, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
521, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
522, nether, minecraft:basalt_deltas, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
523, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider,60,1,2
524, nether, minecraft:basalt_deltas, CREATURE, alexsmobs:laviathan,15,1,1
525, nether, minecraft:basalt_deltas, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
526, nether, minecraft:basalt_deltas, WATER_CREATURE, alexsmobs:stradpole,10,1,1
527, nether, minecraft:basalt_deltas, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
528, nether, minecraft:basalt_deltas, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
529, nether, minecraft:basalt_deltas, WATER_AMBIENT, netherdepthsupgrade:bonefish,8,1,5
530, nether, minecraft:basalt_deltas, WATER_AMBIENT, netherdepthsupgrade:fortressgrouper,3,1,2
531, nether, minecraft:basalt_deltas, WATER_AMBIENT, netherdepthsupgrade:glowdine,8,4,6
532, nether, minecraft:basalt_deltas, WATER_AMBIENT, netherdepthsupgrade:magmacubefish,10,2,4
533, nether, minecraft:basalt_deltas, WATER_AMBIENT, netherdepthsupgrade:obsidianfish,15,1,5
534, nether, minecraft:basalt_deltas, WATER_AMBIENT, netherdepthsupgrade:searing_cod,10,3,6
535, beach, minecraft:beach, MONSTER, minecraft:spider,100,4,4
536, beach, minecraft:beach, MONSTER, minecraft:zombie,95,4,4
537, beach, minecraft:beach, MONSTER, minecraft:zombie_villager,5,1,1
538, beach, minecraft:beach, MONSTER, minecraft:skeleton,100,4,4
539, beach, minecraft:beach, MONSTER, minecraft:slime,100,4,4
540, beach, minecraft:beach, MONSTER, minecraft:enderman,10,1,4
541, beach, minecraft:beach, MONSTER, minecraft:witch,5,1,1
542, beach, minecraft:beach, MONSTER, alexsmobs:centipede_head,8,1,1
543, beach, minecraft:beach, MONSTER, alexsmobs:farseer,30,1,1
544, beach, minecraft:beach, MONSTER, alexsmobs:murmur,5,1,1
545, beach, minecraft:beach, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
546, beach, minecraft:beach, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
547, beach, minecraft:beach, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
548, beach, minecraft:beach, MONSTER, creeperoverhaul:beach_creeper,75,2,2
549, beach, minecraft:beach, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
